name,formatted_address,websiteUri,rating,nationalPhoneNumber,googleMapsLinks
Independence 47 Hotel Scottsdale Arizona,"7330 N Pima Rd, Scottsdale, AZ 85258, USA",https://www.independence47hotelscottsdale.com/,3.5,(480) 948-3800,https://maps.google.com/?cid=636071598083332627
The Monarch,"4000 N Drinkwater Blvd, Scottsdale, AZ 85251, USA",https://www.themonarchscottsdale.com/,4.0,(623) 352-7272,https://maps.google.com/?cid=6907226424220033977
Scottsdale Parkview Resort,"7707 E McDowell Rd, Scottsdale, AZ 85257, USA",http://scottsdaleparkview.com/,3.8,(480) 941-1202,https://maps.google.com/?cid=1818374977562484313
THE AZURE HOTEL,"651 E Main St, Mesa, AZ 85203, USA",http://www.theazurehotel.com/,4.0,(480) 621-6375,https://maps.google.com/?cid=6500918519265329297
Vīb Hotel by Best Western Phoenix-Tempe,"511 S Farmer Ave, Tempe, AZ 85281, USA",https://www.bestwestern.com/en_US/book/hotel-rooms.03177.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:03177,4.0,(480) 805-2070,https://maps.google.com/?cid=16309627771007311058
Hotel Scottsdale,"3275 N Drinkwater Blvd, Scottsdale, AZ 85251, USA",http://www.hotelscottsdaleoldtown.com/,2.8,(480) 946-1111,https://maps.google.com/?cid=2575403372700739489
New Windsor Hotel,"546 W Adams St, Phoenix, AZ 85003, USA",N/A,3.7,(602) 254-8694,https://maps.google.com/?cid=15354272982898458769
Downtown Phoenix Hotel,"424 W Van Buren St, Phoenix, AZ 85003, USA",https://www.downtownphoenixhotel.com/,3.9,(602) 257-8331,https://maps.google.com/?cid=5235106984375233547
"Studio 6 Tempe, AZ","4909 S Wendler Dr, Tempe, AZ 85282, USA",https://www.studio6.com/en/home/motels.az.tempe.5281.html?lid=Local_Milestone_6031&travelAgentNumber=TA001305&corporatePlusNumber=CP792N5W&utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website,3.7,(602) 414-4470,https://maps.google.com/?cid=11685045444129800854
Hotel Elev8 Flagstaff,"2285 E Butler Ave, Flagstaff, AZ 86004, USA",http://www.hotelelev8flagstaff.com/,4.0,(928) 774-1821,https://maps.google.com/?cid=2565323624597377075
"Motel 6 Kingman, AZ Route 66 East","3351 E Andy Devine Ave, Kingman, AZ 86401, USA",https://www.motel6.com/en/home/motels.az.kingman.9050.html?lid=Local_Milestone_9050&travelAgentNumber=TA001305&corporatePlusNumber=CP792N5W&utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website,3.5,(928) 864-5706,https://maps.google.com/?cid=2561333851661184826
Hacienda Motel Yuma,"2150 S 4th Ave, Yuma, AZ 85364, USA",https://www.haciendamotelyuma.top/,3.7,(928) 782-4316,https://maps.google.com/?cid=8756471710679139621
Pinecrest Inn & Suites,"2818 E Rte 66, Flagstaff, AZ 86004, USA",http://www.pinecrestinnandsuites.com/,3.9,(928) 526-1950,https://maps.google.com/?cid=10685427953038048025
The Tombstone Motel,"502 E Fremont St, Tombstone, AZ 85638, USA",https://tombstone.innhistory.com/,3.4,(520) 457-3478,https://maps.google.com/?cid=7058117081861559232
Radisson Hotel Casa Grande,"777 N Pinal Ave, Casa Grande, AZ 85122, USA",https://www.choicehotels.com/arizona/casa-grande/radisson-hotels/az604?mc=llgoxxpx,3.3,(520) 217-1029,https://maps.google.com/?cid=15393270099184711871
El Rancho Motel,"2201 S 4th Ave, Yuma, AZ 85364, USA",https://www.elranchomotelyuma.com/,3.7,(928) 276-3702,https://maps.google.com/?cid=4692032694242934705
Page Boy Motel,"150 N Lake Powell Blvd, Page, AZ 86040, USA",N/A,3.7,(928) 645-2416,https://maps.google.com/?cid=195653924564601355
Star Hotel Route 66-Grand Canyon,"128 E Rte 66, Williams, AZ 86046, USA",https://www.starhotelgrandcanyon.com/,3.9,(928) 635-1515,https://maps.google.com/?cid=9736024418125095139
Hyatt Place Flagstaff,"397 S Malpais Ln, Flagstaff, AZ 86001, USA",https://www.hyatt.com/hyatt-place/en-US/phxzf-hyatt-place-flagstaff?src=corp_lclb_google_seo_phxzf&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,3.8,(928) 433-6930,https://maps.google.com/?cid=6309656240264744185
Aloft Glendale at Westgate,"6920 N 93RD Ave, Glendale, AZ 85305, USA",https://www.marriott.com/en-us/hotels/phxaw-aloft-glendale-at-westgate/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.0,(602) 883-3500,https://maps.google.com/?cid=11730265643792562616
Reliance Hotel Group,"2620 W Dunlap Ave, Phoenix, AZ 85021, USA",https://www.reliancehospitality.com/,2.0,(602) 293-3004,https://maps.google.com/?cid=1809341647791687466
Tristar Hotel Management,"8747 E Vía De Commercio Suite 101, Scottsdale, AZ 85258, USA",https://tristarhotels.com/,3.0,(602) 725-9900,https://maps.google.com/?cid=16767990242373243572
Casita Verde Guesthouse,"4120 N 19th St, Phoenix, AZ 85016, USA",https://casitaverdephx.my.canva.site/,N/A,N/A,https://maps.google.com/?cid=10789545415362521896
Casa Buena -- AIRBNB,"1628 E Tierra Buena Ln, Phoenix, AZ 85022, USA",https://www.facebook.com/profile.php?id=100083861664929,4.0,(480) 712-5890,https://maps.google.com/?cid=2051748362227118423
Ski Lift Lodge & Cabins,"6355 US-180, Flagstaff, AZ 86001, USA",N/A,N/A,N/A,https://maps.google.com/?cid=12568225269344722386
Adobe by the Creek,"2580 Dancing Apache Rd, Cornville, AZ 86325, USA",N/A,N/A,N/A,https://maps.google.com/?cid=15789081341270899774
Buffalo Pointe Inn,"437 W Rte 66, Williams, AZ 86046, USA",N/A,3.8,(480) 244-8085,https://maps.google.com/?cid=8592671357858753790
Kaibab Lodge,"Grand Canyon Hwy, Fredonia, AZ 86022, USA",http://www.kaibablodge.com/,4.0,(928) 638-2389,https://maps.google.com/?cid=12909456242468768732
Orange Trailer Park,"2461 S 4th Ave, Yuma, AZ 85364, USA",N/A,3.1,N/A,https://maps.google.com/?cid=15580337509739129295
ULTIMATE HAWAII VACATIONS,"162 E Birchwood Pl, Chandler, AZ 85249, USA",http://www.ultimatehawaiivacations.com/,N/A,(520) 280-3309,https://maps.google.com/?cid=8638613402674843807
Radiant Care Home,"15174 W Boca Raton Rd, Surprise, AZ 85379, USA",http://radiantcarehome.com/,3.7,(623) 239-8412,https://maps.google.com/?cid=8139964752758294311
Inn at the Amethyst,"18172 N 91st Ave, Peoria, AZ 85382, USA",https://www.seniorlifestyle.com/property/arizona/inn-at-the-amethyst/?utm_source=GMB&utm_medium=organic&utm_campaign=864&utm_content=Website%20Button&state=Arizona&city=Peoria,3.9,(623) 404-4046,https://maps.google.com/?cid=13760054211757543759
The Inn at the Fountains,"5830 N Fountains Ave, Tucson, AZ 85704, USA",http://lacholla.watermarkcommunities.com/living-choices/assisted-living-inn/,N/A,(520) 777-1413,https://maps.google.com/?cid=10829635180141576873
Hyatt Place Tucson-Central,"1375 W Grant Rd, Tucson, AZ 85745, USA",https://www.hyatt.com/hyatt-place/en-US/tuszt-hyatt-place-tucson-central?src=corp_lclb_google_seo_tuszt&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,3.9,(520) 206-0602,https://maps.google.com/?cid=6599779307428132705
Sierra Winds,"17300 N 88th Ave, Peoria, AZ 85382, USA",https://sierrawinds.com/,3.9,(623) 972-0212,https://maps.google.com/?cid=7810952564509140764
Splendido at Rancho Vistoso,"13500 N Rancho Vistoso Blvd, Tucson, AZ 85755, USA",http://bit.ly/2ECVLFx,3.4,(520) 878-2600,https://maps.google.com/?cid=3257546310023221560
Atria Vista de la Montana,"18510 N Parkview Pl, Surprise, AZ 85374, USA",N/A,N/A,N/A,https://maps.google.com/?cid=6493765280730353452
Rose Garden 55+ community,"11596 W Sierra Dawn Blvd, Surprise, AZ 85378, USA",http://www.cal-am.com/communities/rose-garden,3.8,(623) 933-4732,https://maps.google.com/?cid=15553098674714576434
La Privada,"10255 E Vía Linda, Scottsdale, AZ 85258, USA",https://www.rentlaprivada.com/??rccustomid=NDQ1MTA%3D-OZswy5wK1NU%3D&utm_source=obl&utm_medium=organic,3.9,(844) 589-1046,https://maps.google.com/?cid=377915398385187258
REDI Rentals,"3400 E Speedway Blvd APT 108, Tucson, AZ 85716, USA",http://www.azredirentals.com/,3.3,(520) 623-5710,https://maps.google.com/?cid=11340366849807059242
Key Time Realty,"752 Hancock Rd, Bullhead City, AZ 86442, USA",http://www.keytimerealty.com/,3.5,(928) 763-1353,https://maps.google.com/?cid=11821665964599342169
Liv Northgate Apartments,"455 S Recker Rd, Gilbert, AZ 85296, USA",https://www.livnorthgate.com/?switch_cls[id]=96076&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,3.8,(480) 758-4214,https://maps.google.com/?cid=14914187898798881336
Holiday Madison Meadows,"7211 N 7th St, Phoenix, AZ 85020, USA",https://www.holidayseniorliving.com/retirement-communities/holiday-madison-meadows-phoenix-az/?utm_source=GMB&utm_medium=Chatmeter,4.0,(520) 812-4626,https://maps.google.com/?cid=12437655363768448755
Zen Senior Living,"11645 North 25th Pl, Phoenix, AZ 85028, USA",https://www.zenapts.net/,4.0,(602) 635-1455,https://maps.google.com/?cid=10665720714877521498
Canyons Edge Route 66 Motel,"859 Old Rte 66, Ash Fork, AZ 86320, USA",http://canyonsedge66motel.com/,3.3,(928) 637-2514,https://maps.google.com/?cid=527375071938336926
"Motel 6 Page, AZ","637 S Lake Powell Blvd, Page, AZ 86040, USA",https://www.motel6.com/en/home/motels.az.page.4013.html?lid=Local_Milestone_4013&travelAgentNumber=TA001305&corporatePlusNumber=CP792N5W&utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website,3.5,(928) 645-5888,https://maps.google.com/?cid=3000201835086524120
Super Inn,"1031 E Benson Hwy, Tucson, AZ 85713, USA",https://superinntucson.top/,2.8,(520) 624-7240,https://maps.google.com/?cid=13615915308756898069
OYO Hotel Eloy/ Casa Grande near I-10,"5300 Sunland Gin Rd, Eloy, AZ 85131, USA",https://www.oyorooms.com/US/84831/?utm_source=GMB_US&utm_medium=Organic&utm_campaign=US_ELOY001&latitude=32.8128360402022&longitude=-111.671706363559&locale=en,2.4,(716) 219-3976,https://maps.google.com/?cid=7022205269517108397
Moapa Motel,"2300 Glendale Blvd, Moapa, NV 89025, USA",https://hotels.cloudbeds.com/reservation/eOJ2KW,3.8,(702) 864-2277,https://maps.google.com/?cid=8375225957483794689
GoodNight Stay Vacation Rentals,"15757 N 78th St Suite B, Scottsdale, AZ 85260, USA",https://goodnightstay.com/,3.1,(480) 562-6226,https://maps.google.com/?cid=16276682551774685841
Scottsdale stays - Paradise Park Estate,"17659 N Paradise Park Dr, Phoenix, AZ 85032, USA",https://scottsdalestays.com/vacation-rentals/paradise-park/,N/A,(480) 318-4923,https://maps.google.com/?cid=16547028023891419432
Flagstaff Vacation Properties,"2323 E Greenlaw Ln, Flagstaff, AZ 86004, USA",http://flagstaffvacationproperties.com/,4.0,(928) 224-9155,https://maps.google.com/?cid=14740641036018913621
Apple Creek Cottages,"1001 White Spar Rd, Prescott, AZ 86303, USA",http://www.applecreekcottages.com/,3.8,(928) 445-7321,https://maps.google.com/?cid=7358850657553758376
FLG Retreat,"4972 E Retreat Cir, Flagstaff, AZ 86004, USA",N/A,N/A,(602) 730-5436,https://maps.google.com/?cid=5454093402751094182
Palo Verde Vacation House,"80 Ben Hulse Hwy, Palo Verde, CA 92266, USA",N/A,4.0,(760) 854-3195,https://maps.google.com/?cid=10384829301796788896
Tucson Vacation Rentals by Vacasa,"2450 W Ruthrauff Rd # 198, Tucson, AZ 85705, USA",https://www.vacasa.com/usa/Arizona/Tucson/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB-Tucson-Office,3.0,(480) 935-6406,https://maps.google.com/?cid=3238363949122711013
Westweeks Vacation Rentals,"28420 S Rain Valley Rd, Elgin, AZ 85611, USA",N/A,N/A,(520) 761-1412,https://maps.google.com/?cid=6429311993207134769
Lake Havasu Vacation Rentals & Sales,"500 N Lake Havasu Ave STE A104, Lake Havasu City, AZ 86403, USA",http://havasuvacationrentals.com/,3.2,(928) 854-7800,https://maps.google.com/?cid=16688757893154549927
Scottsdale Vacation Homes,"7353 E Adele Ct, Scottsdale, AZ 85255, USA",https://www.tomrhue.com/,N/A,(719) 634-7311,https://maps.google.com/?cid=8707387366346770588
Voyago Vacation Rentals Arizona,"7301 E Sundance Trail Unit A101, Carefree, AZ 85377, USA",https://letsvoyagoaz.com/,N/A,(623) 404-8398,https://maps.google.com/?cid=4045779239666762774
H20 Sanctuary,"2413 S El Dorado, Mesa, AZ 85202, USA",https://h2osanctuary.hospitable.rentals/,N/A,N/A,https://maps.google.com/?cid=14581987278753707172
Scottsdale Condominium Rentals,"15221 N Clubgate Dr, Scottsdale, AZ 85254, USA",http://www.scottsdaleazcondorentals.com/corporateHousing.html,4.0,(480) 699-9915,https://maps.google.com/?cid=7017800060458730994
"Arizona Vacation Rentals by Vacasa Arizona, LLC","4, 8350 E Evans Rd Suite A, Scottsdale, AZ 85260, USA",https://www.vacasa.com/usa/Arizona/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB-Arizona,3.6,(480) 935-6406,https://maps.google.com/?cid=17035589894146413461
The White Mountain Rentals,"2112 Bonney Ln, Pinetop, AZ 85935, USA",http://www.whitemountainrentals.net/,N/A,(602) 708-6173,https://maps.google.com/?cid=7312818545944066770
Vacation Rentals Southwest,"2200 N Central Ave #205, Phoenix, AZ 85004, USA",http://vacationrentalssouthwest.com/contact-us/,3.5,(602) 253-1812,https://maps.google.com/?cid=1890174917614805235
Signature Vacation Rentals,"15475 N Greenway Hayden Loop b2, Scottsdale, AZ 85260, USA",http://www.arizonalodgingexperts.com/,4.0,(602) 888-9099,https://maps.google.com/?cid=356098557448399921
Elite Vacation Rentals,"2425 S Stearman Dr, Chandler, AZ 85286, USA",https://elitevrs.com/contact-us/,3.9,(480) 447-9211,https://maps.google.com/?cid=17259043925939884419
Jaitley Vacation Rentals,"105 W Leroux St, Prescott, AZ 86303, USA",https://jaitleyvacationrentals.com/contact/,N/A,N/A,https://maps.google.com/?cid=6003584532014389645
Marble Canyon Lodge,"US-89A, Marble Canyon, AZ 86036, USA",https://www.marblecanyonlodge.com/,4.0,(928) 355-2225,https://maps.google.com/?cid=11072899263236229175
"Independent Order of Odd Fellows, IOOF, Arizona lodge #1","8690 E Loos Dr, Prescott Valley, AZ 86314, USA",https://www.facebook.com/IOOFAZ1?mibextid=ZbWKwL,4.0,(928) 235-6562,https://maps.google.com/?cid=7551768448819162410
LifeStream at Sun City,"12415 N 103rd Ave, Sun City, AZ 85351, USA",https://www.lifestreamatsuncity.com/,3.7,(602) 612-9875,https://maps.google.com/?cid=12950072961417708499
Lodge At 14th Street,"2941 N 14th St, Phoenix, AZ 85014, USA",N/A,3.5,(602) 279-1033,https://maps.google.com/?cid=8264016185658760121
"BBB Pacific Southwest, Central & Inland California - Phoenix","1010 E Missouri Ave, Phoenix, AZ 85014, USA",N/A,4.0,(602) 264-1721,https://maps.google.com/?cid=17366358807580625294
